出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,6,24953,23271.707,23215.4,22474.994635514806,24211.59864226189,BKK
下午班機,TPE,下午抵達,5,1,1,1,240,-1.882734,0.4139873,7,23041,21486.885,21809.29,20275.275038282012,22652.95303296171,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,4,20985,21980.81,21824.936,21431.099296879325,22306.020143124402,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,6,23003,22537.016,22252.613,21666.95604936544,22781.983583335015,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,9,20706,20763.062,20635.85,20319.811461768695,21001.655587704165,BKK
下午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,7,17058,17361.463,17443.055,17119.977986522532,17911.57034760812,BKK
上午班機,TPE,下午抵達,5,1,1,1,250,-1.882734,0.4139873,6,23032,23926.682,23834.602,22928.749661848262,25269.840696576015,BKK
下午班機,TPE,下午抵達,1,1,2,0,235,-1.882734,0.4139873,7,16812,21562.49,21166.762,19861.08594485804,23752.4686368078,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,9,23849,21626.645,21610.975,21332.193294151195,21999.034492800372,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,9,21152,19536.346,19581.04,18714.095512965327,20362.87695676936,BKK
早晨班機,TPE,上午抵達,1,1,0,0,245,-1.882734,0.4139873,6,21395,23796.443,23910.531,22756.187502768906,25144.306156225153,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,25312,23001.404,22874.086,22076.07128133296,23865.693786647826,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16569,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
下午班機,TPE,下午抵達,5,1,0,0,240,-1.882734,0.4139873,7,20572,20508.475,20415.098,19971.425625414504,21143.62149111718,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,18046,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,19790,19370.334,19290.69,19004.8908225549,19472.879119282,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,10,21027,22238.482,22069.244,21352.18390768064,22644.066687825976,BKK
晚間班機,TPE,晚間抵達,1,1,2,1,235,-1.882734,0.4139873,9,19280,20562.06,20525.303,17919.08492049356,23439.425086505456,BKK
下午班機,TPE,下午抵達,5,1,0,1,240,-1.882734,0.4139873,7,20111,20447.229,20353.955,20077.47714116195,20668.360406632255,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,9,21587,21626.645,21610.975,21332.193294151195,21999.034492800372,BKK
早晨班機,TPE,上午抵達,1,1,0,0,245,-1.882734,0.4139873,9,21302,22548.775,22365.676,21952.709845709112,23066.931333156583,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,9,21351,19536.346,19581.04,18714.095512965327,20362.87695676936,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,21079,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
晚間班機,TPE,凌晨抵達,2,0,0,0,245,-1.882734,0.4139873,8,18884,19459.973,19397.805,19109.21835093396,19806.432268608096,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,6,23674,23271.707,23215.4,22474.994635514806,24211.59864226189,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,29861,23001.404,22874.086,22076.07128133296,23865.693786647826,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,10,19232,19922.598,19828.236,19102.952282566563,21105.156336811975,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,4,21740,21472.135,21330.666,20878.195320426476,21977.225731476618,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,16595,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
早晨班機,TPE,上午抵達,1,1,1,1,250,-1.882734,0.4139873,7,23105,23962.969,23902.3,22504.02856037723,25374.237081407446,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,20762,19370.334,19290.69,19004.8908225549,19472.879119282,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,9,21477,19536.346,19581.04,18714.095512965327,20362.87695676936,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,7,18404,20846.797,20362.596,19172.731819309964,21878.791442942034,BKK
下午班機,TPE,下午抵達,5,1,2,0,240,-1.882734,0.4139873,7,22959,24967.66,24512.666,22231.46604961858,28841.97535402105,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,10,21307,19383.398,19280.5,18093.2026854916,20372.824627022346,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,9,21152,22092.746,22049.678,21525.259111627758,22618.335084980543,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,8,16619,20264.604,20095.26,19048.15373119762,21249.570740405194,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,6,21552,22524.273,22395.836,21398.15818361261,23823.120835170044,BKK
下午班機,TPE,下午抵達,5,1,0,1,240,-1.882734,0.4139873,7,20531,20447.229,20353.955,20077.47714116195,20668.360406632255,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,9,29103,22169.639,22024.96,21677.55781317638,22336.153836235408,BKK
下午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,7,16676,17361.463,17443.055,17119.977986522532,17911.57034760812,BKK
早晨班機,TPE,上午抵達,2,1,0,0,230,-1.882734,0.4139873,9,20675,20531.744,20489.55,20185.026870080485,20903.571586991155,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,9,22612,22092.746,22049.678,21525.259111627758,22618.335084980543,BKK
晚間班機,TPE,凌晨抵達,1,1,1,1,235,-1.882734,0.4139873,9,21311,21870.13,22009.78,20645.79528635408,23408.57938036656,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,9,18328,19465.021,19265.979,18191.37197167577,20569.156465095417,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,7,21629,22284.277,22155.666,21613.561662706798,22896.193481010912,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,10,21300,19383.398,19280.5,18093.2026854916,20372.824627022346,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16682,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16699,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,6,21292,22372.14,22411.52,21790.369079359985,23182.340273200796,BKK
下午班機,TPE,下午抵達,2,1,2,0,235,-1.882734,0.4139873,7,19634,22990.68,22761.014,21688.422803667916,24739.19541255172,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,9,20698,20763.062,20635.85,20319.811461768695,21001.655587704165,BKK
下午班機,TPE,下午抵達,5,0,0,1,240,-1.882734,0.4139873,7,20675,21490.512,21288.375,20850.50671221417,21900.453444799597,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,8,19169,19600.602,19476.256,19120.630103933156,20006.821870479533,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,27778,23001.404,22874.086,22076.07128133296,23865.693786647826,BKK
上午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,21411,22928.559,22802.773,21952.14142195548,23598.852992698103,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,18271,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,8,19247,19600.602,19476.256,19120.630103933156,20006.821870479533,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16673,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
下午班機,TPE,下午抵達,1,1,2,1,235,-1.882734,0.4139873,7,20678,22698.494,22246.438,20478.551381819812,23829.194218018216,BKK
早晨班機,TPE,上午抵達,2,1,0,0,230,-1.882734,0.4139873,9,20367,20531.744,20489.55,20185.026870080485,20903.571586991155,BKK
晚間班機,TPE,凌晨抵達,2,0,0,0,245,-1.882734,0.4139873,7,19180,19581.3,19551.799,19196.141475713663,20156.151467189862,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,10,18912,19922.598,19828.236,19102.952282566563,21105.156336811975,BKK
晚間班機,TPE,晚間抵達,1,1,2,0,235,-1.882734,0.4139873,8,16670,20925.957,20664.11,18124.77973979677,23326.768290279706,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,8,21275,22232.65,21906.139,21438.29153994975,22463.648320882516,BKK
下午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,7,16637,17361.463,17443.055,17119.977986522532,17911.57034760812,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,9,21302,19465.021,19265.979,18191.37197167577,20569.156465095417,BKK
早晨班機,TPE,上午抵達,2,1,0,0,230,-1.882734,0.4139873,9,21704,20531.744,20489.55,20185.026870080485,20903.571586991155,BKK
晚間班機,TPE,凌晨抵達,1,1,0,0,235,-1.882734,0.4139873,9,21574,22026.895,22102.799,21099.561383533655,22703.116872561208,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,4,21653,21980.81,21824.936,21431.099296879325,22306.020143124402,BKK
晚間班機,TPE,晚間抵達,1,1,2,0,235,-1.882734,0.4139873,8,16875,20925.957,20664.11,18124.77973979677,23326.768290279706,BKK
下午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,7,16871,17361.463,17443.055,17119.977986522532,17911.57034760812,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,7,20695,20899.51,20761.953,20565.207405403627,20953.5293840782,BKK
