出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,7,5782,5194.8545,5154.184,4829.934771226778,5567.908442229443,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,7,6224,6417.9434,6252.957,5598.036336396885,7372.465601345288,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,6271,7691.953,7564.5205,7088.395279031623,8268.754584548125,ICN
下午班機,TPE,下午抵達,6,1,0,1,145,-0.059982,1.5913391,12,9095,6966.458,6885.409,6388.404709220385,7244.151556612333,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,7,7196,8102.942,7690.5376,7083.479558519753,8487.895101232198,ICN
下午班機,TPE,晚間抵達,1,1,1,1,150,-0.059982,1.5913391,12,10144,12240.723,11668.108,9805.426862314136,13629.191336477414,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,12,7263,5496.3027,5478.737,5139.914311137879,5742.084036669282,ICN
早晨班機,TPE,上午抵達,2,1,1,1,145,-0.059982,1.5913391,4,13588,12936.508,12287.675,11050.460541963665,13595.649070924166,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,6394,8107.279,8115.665,7263.972133627749,9062.110036890019,ICN
下午班機,TPE,晚間抵達,1,1,0,0,140,-0.059982,1.5913391,12,14601,11168.306,10727.3125,9242.086189841737,12561.4142834607,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,9437,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
早晨班機,TPE,上午抵達,1,1,2,0,145,-0.059982,1.5913391,4,15522,16828.979,16590.54,14898.975351143092,18572.0780279086,ICN
上午班機,TPE,下午抵達,6,0,2,0,180,-0.059982,1.5913391,2,8638,12441.758,12351.217,10823.926746428679,15030.342703932702,ICN
早晨班機,TPE,上午抵達,1,0,0,1,145,-0.059982,1.5913391,4,10315,11032.286,10793.117,9442.06626103835,11457.82539135863,ICN
晚間班機,TPE,晚間抵達,4,1,1,1,145,-0.059982,1.5913391,4,5776,6430.603,6093.798,5366.7257362803675,6859.587313449301,ICN
上午班機,TPE,下午抵達,6,0,0,1,155,-0.059982,1.5913391,3,4973,6141.395,6078.4956,5742.501401652844,6523.654880837293,ICN
下午班機,TPE,下午抵達,6,1,0,1,145,-0.059982,1.5913391,12,7007,6966.458,6885.409,6388.404709220385,7244.151556612333,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,5919,7691.953,7564.5205,7088.395279031623,8268.754584548125,ICN
晚間班機,TPE,晚間抵達,4,1,2,0,145,-0.059982,1.5913391,4,8151,8863.133,8282.393,7461.500939225252,9370.446107172096,ICN
早晨班機,TPE,上午抵達,1,1,1,0,145,-0.059982,1.5913391,4,7918,10565.177,10888.094,9640.5102128903,11831.889982588269,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,6024,7185.874,7024.2056,6551.526484346735,7572.710053290714,ICN
下午班機,TPE,下午抵達,6,1,2,0,145,-0.059982,1.5913391,12,11353,12871.98,12466.726,11582.03852078087,14342.833957229075,ICN
下午班機,TPE,下午抵達,2,1,1,1,145,-0.059982,1.5913391,12,10759,12655.397,12573.431,10983.224995985416,13905.369055155381,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,16313,9305.051,8995.161,8582.800890855302,9430.397253473871,ICN
下午班機,TPE,下午抵達,6,1,0,1,145,-0.059982,1.5913391,12,7507,6966.458,6885.409,6388.404709220385,7244.151556612333,ICN
晚間班機,TPE,晚間抵達,2,1,0,0,150,-0.059982,1.5913391,4,9557,7475.688,7297.923,6904.655035830424,7844.982834264015,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,7241,8253.396,8058.4478,7575.397973090894,8589.727530102651,ICN
下午班機,TPE,下午抵達,4,0,1,0,145,-0.059982,1.5913391,12,7186,7784.009,7609.067,6831.119752953756,8537.230263888869,ICN
上午班機,TPE,下午抵達,6,0,0,1,155,-0.059982,1.5913391,3,5879,6141.395,6078.4956,5742.501401652844,6523.654880837293,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,6598,7691.953,7564.5205,7088.395279031623,8268.754584548125,ICN
晚間班機,TPE,晚間抵達,4,1,0,1,145,-0.059982,1.5913391,4,4989,3928.3447,3878.354,3688.7631106121835,4098.596593607604,ICN
下午班機,TPE,晚間抵達,1,1,2,1,140,-0.059982,1.5913391,12,17870,15171.953,14844.125,13762.652440244508,15684.266539022088,ICN
早晨班機,TPE,上午抵達,1,1,2,1,145,-0.059982,1.5913391,3,10600,15418.332,15236.758,12719.700226936819,17906.04791624242,ICN
晚間班機,TPE,晚間抵達,4,1,0,1,145,-0.059982,1.5913391,4,5178,3928.3447,3878.354,3688.7631106121835,4098.596593607604,ICN
下午班機,TPE,晚間抵達,1,1,0,0,150,-0.059982,1.5913391,11,7711,9514.433,9053.121,8264.990747736087,9884.163621499767,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,6306,8107.279,8115.665,7263.972133627749,9062.110036890019,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,2,6895,7778.2124,7972.799,6896.052828244763,9718.436570747761,ICN
下午班機,TPE,下午抵達,2,2,0,1,145,-0.059982,1.5913391,12,8610,7908.3926,7782.8433,6956.004232572765,9160.168502892808,ICN
下午班機,TPE,下午抵達,6,1,1,0,145,-0.059982,1.5913391,12,8061,9762.723,9607.29,8543.385709591934,10769.326599322156,ICN
晚間班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,3,18265,13429.921,13182.534,11730.47511199789,14526.716286749235,ICN
晚間班機,TPE,晚間抵達,4,0,0,1,150,-0.059982,1.5913391,4,3858,4249.7583,4129.693,3900.3628160479366,4328.670174513167,ICN
晚間班機,TPE,晚間抵達,2,1,2,0,150,-0.059982,1.5913391,4,13146,14653.219,14202.545,12419.883818369646,15838.722796725215,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,7,7491,7881.9985,7552.3516,6805.515377913156,8498.693858529099,ICN
早晨班機,TPE,上午抵達,1,1,2,1,145,-0.059982,1.5913391,3,14682,15418.332,15236.758,12719.700226936819,17906.04791624242,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,12,6568,8396.572,8175.4253,7682.935727136433,8747.446553184429,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,14,5552,5879.7217,5591.3037,4982.8822691986215,6294.507376793436,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,6785,8107.279,8115.665,7263.972133627749,9062.110036890019,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,12,5364,5496.3027,5478.737,5139.914311137879,5742.084036669282,ICN
晚間班機,TPE,晚間抵達,4,0,2,1,150,-0.059982,1.5913391,4,9382,7922.8804,7991.3677,7240.396863000629,8637.593020606722,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,12,7706,8396.572,8175.4253,7682.935727136433,8747.446553184429,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,7215,8253.396,8058.4478,7575.397973090894,8589.727530102651,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,9117,9305.051,8995.161,8582.800890855302,9430.397253473871,ICN
上午班機,TPE,下午抵達,6,0,2,1,155,-0.059982,1.5913391,1,9098,9754.625,9757.109,8689.417892179521,10985.637477453496,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,7,5952,7881.9985,7552.3516,6805.515377913156,8498.693858529099,ICN
晚間班機,TPE,晚間抵達,4,1,2,1,145,-0.059982,1.5913391,4,6779,8484.386,7998.406,7375.527040361119,8618.796777809917,ICN
