出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,3,5571,5636.4385,5542.5425,5194.839158248266,5827.155295497853,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,6,6118,6567.263,6267.736,5634.278983180634,7294.621756909679,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,6150,6515.993,6381.4224,5620.383360606082,7149.177420091247,SIN
下午班機,TPE,晚間抵達,1,1,2,1,285,2.1585612,1.0416285,4,19153,10928.179,11043.677,7524.9336004757615,14696.11835124028,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,8253,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,2,3124,3031.5278,2932.0693,2756.0587696700036,3261.904067908738,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,6121,6515.993,6381.4224,5620.383360606082,7149.177420091247,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,0,285,2.1585612,1.0416285,2,2984,3197.092,3155.2576,2933.009850745816,3300.452574028419,SIN
凌晨班機,TPE,早晨抵達,4,1,0,0,285,2.1585612,1.0416285,2,3619,3032.6416,2987.0195,2759.9922003290635,3262.9203673959128,SIN
早晨班機,TPE,下午抵達,1,1,0,0,280,2.1585612,1.0416285,8,6139,6001.762,5802.264,5322.335812220267,6258.747944471088,SIN
早晨班機,TPE,下午抵達,5,0,1,1,280,2.1585612,1.0416285,8,7141,8205.079,8093.804,6861.661029310967,9142.525005426283,SIN
早晨班機,TPE,下午抵達,5,0,2,1,280,2.1585612,1.0416285,6,11226,11339.265,11688.87,9556.268599163333,14100.846922273036,SIN
晚間班機,TPE,凌晨抵達,4,1,0,1,285,2.1585612,1.0416285,3,2645,3115.5925,3062.2864,2803.2388579293543,3368.1863584726775,SIN
下午班機,TPE,晚間抵達,1,1,2,0,285,2.1585612,1.0416285,4,21971,11390.828,10184.144,6324.97542707298,16361.556279008168,SIN
早晨班機,TPE,下午抵達,5,0,0,1,300,2.1585612,1.0416285,7,6076,6350.9336,6005.284,5426.583657466957,6624.164626573404,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,1,285,2.1585612,1.0416285,2,2742,3062.7947,3030.2324,2804.5318270296825,3275.4276662456878,SIN
早晨班機,TPE,下午抵達,5,0,0,1,300,2.1585612,1.0416285,6,5612,6238.7427,5916.328,5425.698349709962,6672.7202123332245,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,1,285,2.1585612,1.0416285,2,3294,3062.7947,3030.2324,2804.5318270296825,3275.4276662456878,SIN
下午班機,TPE,晚間抵達,4,1,0,0,285,2.1585612,1.0416285,5,4074,7647.4614,7874.552,6209.99495772823,9165.895498336691,SIN
上午班機,TPE,下午抵達,1,1,2,1,295,2.1585612,1.0416285,2,10707,11047.543,11000.922,8922.611134417559,13026.160387219303,SIN
凌晨班機,TPE,凌晨抵達,4,0,2,0,275,2.1585612,1.0416285,2,5179,8202.825,7894.247,5963.140229882326,10611.418332193209,SIN
早晨班機,TPE,下午抵達,5,0,0,0,285,2.1585612,1.0416285,7,7107,6154.149,5787.0977,5302.179350518775,6456.422388340515,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,0,285,2.1585612,1.0416285,2,3877,3197.092,3155.2576,2933.009850745816,3300.452574028419,SIN
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,2,5518,6322.629,6140.1064,5555.504140082582,7266.276197677313,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,6214,6282.4478,6153.0454,5515.832350153673,6748.232935999892,SIN
下午班機,TPE,晚間抵達,4,1,0,0,285,2.1585612,1.0416285,5,5145,7647.4614,7874.552,6209.99495772823,9165.895498336691,SIN
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,3,5512,5636.4385,5542.5425,5194.839158248266,5827.155295497853,SIN
早晨班機,TPE,下午抵達,2,1,0,0,285,2.1585612,1.0416285,8,5854,5763.2563,5522.452,5122.235526307095,5922.338598659145,SIN
晚間班機,TPE,凌晨抵達,2,1,2,1,285,2.1585612,1.0416285,3,19802,9374.507,9066.428,7842.347000961432,11939.219557216422,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,7,8295,7850.7935,7596.696,6325.525200822804,8947.221456378098,SIN
早晨班機,TPE,下午抵達,2,1,2,1,285,2.1585612,1.0416285,6,19082,9902.52,10023.483,8369.679947961606,11648.314709542548,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,14374,7444.4014,7300.074,5933.320128942401,9590.692648341674,SIN
凌晨班機,TPE,早晨抵達,4,1,0,0,285,2.1585612,1.0416285,2,3312,3032.6416,2987.0195,2759.9922003290635,3262.9203673959128,SIN
