出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,8710,8539.698,8418.906,7652.474711059048,9276.741520116564,BKK
晚間班機,TPE,晚間抵達,1,1,2,1,235,-1.882734,0.4139873,6,13473,13327.269,12405.228,10857.903086060753,13900.382718951547,BKK
早晨班機,TPE,上午抵達,1,1,2,1,245,-1.882734,0.4139873,4,13089,17809.412,16821.82,14992.087972770461,18607.308684035757,BKK
下午班機,TPE,下午抵達,5,1,2,0,240,-1.882734,0.4139873,3,19274,15820.115,16145.797,12705.031813451193,19895.269102952363,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,10,5825,6293.0273,5930.2495,5746.005149330146,6183.096439035951,BKK
早晨班機,TPE,上午抵達,1,1,0,0,245,-1.882734,0.4139873,7,7667,8444.326,8139.464,7501.399358021018,8935.373239896247,BKK
下午班機,TPE,下午抵達,1,1,2,1,235,-1.882734,0.4139873,7,11512,11085.699,10526.533,9434.555194150716,11865.421999606024,BKK
下午班機,TPE,下午抵達,1,1,2,1,235,-1.882734,0.4139873,4,13236,12071.558,11796.284,9954.665301313675,13855.68980842187,BKK
晚間班機,TPE,凌晨抵達,6,0,2,1,240,-1.882734,0.4139873,6,9227,7598.877,7477.5493,6498.450096414179,8892.327536671519,BKK
早晨班機,TPE,上午抵達,2,1,2,1,230,-1.882734,0.4139873,9,12738,17672.748,16385.125,14106.18365167877,20484.589737245034,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,5521,7697.2153,7397.714,6834.235579785275,8194.402080947884,BKK
早晨班機,TPE,上午抵達,1,0,0,1,235,-1.882734,0.4139873,7,6110,6453.288,6278.3564,5960.893526862851,6615.5369932244785,BKK
上午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,8877,7971.2554,7625.5303,6993.034917328869,8341.229644031151,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,4,6695,8196.1,7709.0664,6697.433122976747,8984.578211562413,BKK
晚間班機,TPE,凌晨抵達,6,0,0,1,240,-1.882734,0.4139873,8,3580,3899.7522,3827.9036,3636.6411659053083,4052.685221617051,BKK
下午班機,TPE,晚間抵達,6,0,0,0,235,-1.882734,0.4139873,7,4044,4827.9424,4707.2666,4430.6245908752835,4967.392833005406,BKK
晚間班機,TPE,凌晨抵達,2,0,2,0,245,-1.882734,0.4139873,8,9124,10023.12,10202.693,8610.97114826826,13513.231821330772,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,7,13225,8181.338,7763.7075,7118.520932849217,8462.825181128153,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,7,8476,8181.338,7763.7075,7118.520932849217,8462.825181128153,BKK
早晨班機,TPE,上午抵達,1,0,0,1,235,-1.882734,0.4139873,7,5972,6453.288,6278.3564,5960.893526862851,6615.5369932244785,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,4,6173,8196.1,7709.0664,6697.433122976747,8984.578211562413,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,9,6219,8152.9985,7990.5366,7033.224496436708,9297.987159667824,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,9,5955,6758.954,6536.5415,6244.263879707059,6873.096523359295,BKK
早晨班機,TPE,上午抵達,2,1,2,1,230,-1.882734,0.4139873,4,20361,17131.795,17001.207,13721.128948627062,20728.564092864926,BKK
下午班機,TPE,下午抵達,5,1,0,0,240,-1.882734,0.4139873,7,6165,6974.0503,6813.045,6037.839665058275,7502.328114459966,BKK
