出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,下午抵達,1,0,2,1,1,0,2,1,1135,845,-1.262158,1.0504261,108,30890.0,37883.465,34509.945,28881.408533921367,44337.329042802594,LHR
上午班機,TPE,下午抵達,1,1,1,1,1,0,1,0,650,1320,-1.262158,1.0504261,45,101793.0,98321.664,94526.31,83238.5328002432,106277.09375155989,LHR
晚間班機,TPE,早晨抵達,1,1,1,1,1,0,2,0,140,1050,-1.262158,1.0504261,101,20449.0,28033.012,21797.83,19346.873969671135,25071.61343415763,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,670,1015,-1.262158,1.0504261,114,17417.0,23468.4,20343.086,17653.284871859905,25574.603869004637,LHR
下午班機,TSA,晚間抵達,1,0,3,1,1,0,2,1,1185,1080,-1.262158,1.0504261,98,155412.0,141363.72,120104.52,83343.05502146024,156229.48780774788,LHR
上午班機,TPE,下午抵達,1,1,3,1,1,0,2,0,1220,1010,-1.262158,1.0504261,45,17582.0,21530.412,20135.738,16806.44034964427,27626.52443021824,LHR
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,1175,1005,-1.262158,1.0504261,103,17352.0,22448.25,21464.006,17938.08659376032,27553.694222768034,LHR
下午班機,TSA,早晨抵達,1,0,3,1,1,0,2,1,260,1035,-1.262158,1.0504261,101,163643.0,119688.66,100215.875,68113.18865258797,147668.85494240106,LHR
晚間班機,TPE,下午抵達,1,1,5,1,2,0,1,1,245,1085,-1.262158,1.0504261,107,34516.0,28234.057,25956.232,22637.493274146593,30584.877362460833,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,830,1025,-1.262158,1.0504261,115,21023.0,23610.62,21363.832,19056.769414420218,24920.77682536074,LHR
上午班機,TSA,早晨抵達,1,1,3,1,1,0,2,1,700,1035,-1.262158,1.0504261,33,39366.0,55344.12,46151.57,38998.70092737955,57254.36793012763,LHR
早晨班機,TSA,下午抵達,1,0,1,1,1,0,2,0,1375,1050,-1.262158,1.0504261,40,163107.0,168705.6,131540.9,79725.99049940352,170942.1310327005,LHR
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,1,410,1030,-1.262158,1.0504261,116,21221.0,25843.67,22916.97,20353.572290964934,26339.332205143437,LHR
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,0,545,1015,-1.262158,1.0504261,79,39587.0,43558.695,34544.652,28378.768599322055,40063.21137705306,LHR
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,0,545,1015,-1.262158,1.0504261,106,21172.0,26113.18,22886.873,20657.539962345607,25845.558986243654,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,205,1140,-1.262158,1.0504261,111,27138.0,29282.809,23757.44,20511.553295740243,27842.788243453655,LHR
上午班機,TPE,早晨抵達,1,0,3,1,1,0,2,1,690,1045,-1.262158,1.0504261,41,65676.0,68183.04,66000.96,55860.09333798443,83151.75841641263,LHR
早晨班機,TSA,下午抵達,1,0,1,1,1,0,2,1,1375,1050,-1.262158,1.0504261,34,156693.0,151109.11,131112.33,82311.13944009396,163899.6849059808,LHR
下午班機,TSA,早晨抵達,1,0,3,1,1,0,2,1,260,1035,-1.262158,1.0504261,121,156445.0,116875.02,94972.695,66743.4140972495,139620.48933026803,LHR
上午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,705,1005,-1.262158,1.0504261,41,16819.0,20047.307,20287.982,17486.990324219114,27357.359118585675,LHR
下午班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,1165,1020,-1.262158,1.0504261,112,21449.0,25134.135,22028.742,19650.019044191064,25725.481054747335,LHR
上午班機,TPE,早晨抵達,1,1,1,1,1,0,1,1,375,1320,-1.262158,1.0504261,34,101821.0,105047.02,98759.69,84986.55109036739,111406.85402195486,LHR
上午班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,675,1020,-1.262158,1.0504261,49,16990.0,26613.967,22424.84,18673.43446506393,29477.811797076538,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,0,625,1015,-1.262158,1.0504261,115,22008.0,27795.703,23416.553,19537.204338024017,29078.780007700127,LHR
