出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,下午抵達,1,0,2,1,1,0,1,0,851,994,0.5468126,0.5891658,78,141463.0,138064.11,145404.47,132459.31778176434,168788.29577925112,JFK
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,325,940,0.5468126,0.5891658,52,128706.0,119889.03,115899.26,103888.94568973471,131567.11265944663,JFK
下午班機,TPE,上午抵達,1,1,1,1,1,0,2,0,800,990,0.5468126,0.5891658,53,114327.0,96740.83,97310.18,91460.73928707391,103003.12735004058,JFK
晚間班機,TPE,晚間抵達,1,0,1,1,0,0,1,1,1016,953,0.5468126,0.5891658,65,127796.0,147539.69,127090.266,115104.90458349019,141044.82405018172,JFK
下午班機,TSA,上午抵達,1,0,1,1,1,0,2,0,915,945,0.5468126,0.5891658,65,151992.0,160120.69,152014.38,139318.1162053348,168546.9249676896,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,235,1055,0.5468126,0.5891658,53,130133.0,132418.95,127421.83,117511.34184932211,135998.8237538361,JFK
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,0,776,953,0.5468126,0.5891658,73,131985.0,134760.67,122275.805,108381.7760973462,138495.33379867958,JFK
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,790,1435,0.5468126,0.5891658,72,167627.0,158461.95,155418.05,132769.43300760674,171797.69597869102,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,2,2,1,565,1050,0.5468126,0.5891658,12,195391.0,177778.92,171049.5,145531.47759070905,182726.66401829247,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,2,2,1,495,1050,0.5468126,0.5891658,34,141356.0,137500.28,140481.14,123808.95381784296,164137.5234264462,JFK
上午班機,TPE,早晨抵達,1,1,2,1,1,0,1,1,1010,1000,0.5468126,0.5891658,35,125307.0,115662.63,114242.09,101035.55946534713,129538.49627031924,JFK
晚間班機,TPE,下午抵達,1,1,5,1,2,0,2,1,175,1430,0.5468126,0.5891658,77,154617.0,146012.55,147362.78,136756.56938218794,157239.85537761464,JFK
下午班機,TPE,上午抵達,1,0,1,1,1,0,2,1,905,980,0.5468126,0.5891658,58,120462.0,118369.27,114343.24,107714.12583482805,120639.69477833166,JFK
