出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,晚間抵達,1,1,5,1,2,0,1,0,535,1065,-1.262158,1.0504261,79,114993.0,102146.49,101763.1,92675.84726062929,113369.32538682337,LHR
上午班機,TSA,下午抵達,1,0,3,1,1,0,2,1,1260,1035,-1.262158,1.0504261,38,125090.0,125778.99,122789.51,109757.7519789725,139163.12570187444,LHR
下午班機,TSA,下午抵達,1,1,1,1,1,0,2,0,990,1060,-1.262158,1.0504261,104,305123.0,309486.38,296934.62,265517.79128482676,326701.69109812967,LHR
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,0,110,1040,-1.262158,1.0504261,40,211869.0,199466.45,176589.83,139930.0909083094,206140.73719817624,LHR
下午班機,TPE,早晨抵達,1,1,1,1,1,0,1,0,95,1320,-1.262158,1.0504261,104,260480.0,236825.47,234043.38,207328.51999767707,255509.3362250534,LHR
晚間班機,TPE,晚間抵達,1,0,2,1,1,0,1,1,760,1020,-1.262158,1.0504261,105,119695.0,135053.75,125803.1,97685.82062859632,147583.75541490456,LHR
晚間班機,TPE,下午抵達,1,1,2,1,1,0,2,1,1025,825,-1.262158,1.0504261,103,87303.0,93003.93,99666.98,88072.52849706134,113564.194932728,LHR
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,340,1010,-1.262158,1.0504261,96,88565.0,90101.04,88404.836,82016.126633484,95563.44531811932,LHR
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,955,1005,-1.262158,1.0504261,105,92251.0,96594.34,99863.164,93712.89208233163,111711.36638937167,LHR
下午班機,TSA,下午抵達,1,0,2,1,1,0,2,0,985,890,-1.262158,1.0504261,112,119239.0,131065.57,136452.61,116606.71986594211,167482.23800358712,LHR
早晨班機,TPE,凌晨抵達,1,0,3,1,2,0,2,1,670,1145,-1.262158,1.0504261,38,89691.0,88866.37,90496.914,79682.51304974481,105914.3828824768,LHR
晚間班機,TPE,凌晨抵達,1,0,3,1,1,0,2,1,125,1025,-1.262158,1.0504261,120,105158.0,105787.16,111675.93,98795.79991608717,132366.41696400434,LHR
下午班機,TPE,下午抵達,1,1,2,1,1,0,2,1,1230,840,-1.262158,1.0504261,112,87364.0,80706.89,89370.7,83056.76098078609,97546.2016715395,LHR
凌晨班機,TPE,下午抵達,1,1,2,1,1,0,1,1,315,970,-1.262158,1.0504261,13,94054.0,102791.66,101140.4,91892.08288927934,110624.0626822006,LHR
下午班機,TSA,下午抵達,1,0,3,1,1,0,2,0,850,1075,-1.262158,1.0504261,105,84574.0,119999.65,118451.375,95877.41321609743,147381.56908670152,LHR
下午班機,TPE,下午抵達,1,0,2,1,1,2,2,1,925,1040,-1.262158,1.0504261,98,87833.0,99887.35,100654.85,90060.03778584763,118937.5403668705,LHR
晚間班機,TPE,下午抵達,1,1,5,1,2,0,1,1,245,1085,-1.262158,1.0504261,107,96161.0,108692.76,94080.05,82993.4507434948,104909.73409915749,LHR
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,75,1010,-1.262158,1.0504261,111,89197.0,92320.38,94928.68,87453.04191234005,106086.33572385598,LHR
