出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
下午6:50,晚間班機,TSA,GMP,TG 635,19846.25,17555.219,16653,0.11543898721420918,0.160899414247024,0.7174605809128627
晚上10:30,晚間班機,TSA,GMP,CI 837,19269.5,17415.697,17130,0.0962040011417006,0.11103038480500273,0.8664655293292824
晚上8:45,晚間班機,TSA,GMP,BR 205,28886.5,17555.219,21166,0.392269087636093,0.2672701781108823,1.4676874554756814
晚上10:30,晚間班機,TSA,GMP,BR 61,23941.25,20152.357,21170,0.15825794392523365,0.11575210149845977,1.3672144339197114
上午10:05,晚間班機,TSA,GMP,CI 831,23957.0,19544.67,21158,0.18417706724548155,0.11683432817130693,1.5763951411218298
上午9:25,晚間班機,TSA,GMP,JX 741,25458.5,18863.553,17854,0.2590469587760473,0.2987018088261288,0.8672426852521533
下午1:55,下午班機,TSA,GMP,TG 633,16675.75,15824.345,16555,0.0510564742215493,0.007241053625773953,7.050973084886134
下午1:50,下午班機,TSA,GMP,CI 835,21478.75,17830.127,17401,0.1698712913926555,0.18985043356806144,0.8947637790448163
下午1:30,下午班機,TSA,GMP,JX 745,20915.75,17881.041,17854,0.14509204785867105,0.14638490133033719,0.9911681228055848
清晨7:00,早晨班機,TSA,GMP,CI 833,20423.5,18840.45,18487,0.07751120033294975,0.09481724484050236,0.8174799896720885
上午8:25,早晨班機,TSA,GMP,BR 211,29164.0,20869.598,21355,0.2844054999314222,0.26776162391990127,1.0621593033679084
上午8:05,早晨班機,TSA,GMP,BR 67,30967.5,20869.598,24858,0.3260806329216113,0.1972874788084282,1.652819707013667
下午6:50,晚間班機,TSA,GMP,TG 635,17274.25,18350.19,16659,-0.06228577217534762,0.03561659695789977,-1.7487850467289696
晚上10:30,晚間班機,TSA,GMP,CI 837,18662.0,18242.758,17130,0.022465009109420123,0.08209195155931841,0.27365665796344535
晚上8:45,晚間班機,TSA,GMP,BR 205,24750.75,18350.19,21166,0.2586006484651981,0.14483399492944657,1.785496896575773
上午10:05,晚間班機,TSA,GMP,CI 831,20818.75,19871.736,18487,0.045488513959771805,0.11200240168117682,0.4061387370001069
上午9:25,晚間班機,TSA,GMP,JX 741,28556.0,19485.988,17854,0.3176219358453565,0.37477237708362515,0.8475062605120538
上午9:40,晚間班機,TSA,GMP,BR 201,26661.25,21206.273,21369,0.20460319752449713,0.19849969525059777,1.0307481694931266
下午1:55,下午班機,TSA,GMP,TG 633,16679.5,15942.83,15359,0.04416619203213526,0.07916903983932372,0.5578720181749338
下午1:50,下午班機,TSA,GMP,CI 835,19902.75,18009.24,17401,0.09513810905528122,0.12569870997726446,0.7568741880683515
下午1:30,下午班機,TSA,GMP,JX 745,20894.0,18535.854,17854,0.11286235282856326,0.14549631473150187,0.7757059210526318
清晨7:00,早晨班機,TSA,GMP,CI 833,21164.5,19156.81,18487,0.09486120626520819,0.1265090127335869,0.7498375350140052
上午8:25,早晨班機,TSA,GMP,BR 211,25816.5,20801.443,21355,0.1942578196114888,0.1728158348343114,1.124074190294744
上午8:05,早晨班機,TSA,GMP,BR 67,28260.5,21013.432,21178,0.25643806726703344,0.25061481573220573,1.0232358630427107
下午6:50,晚間班機,TSA,GMP,TG 635,19615.25,18855.28,15359,0.03874383451651145,0.2169867832426301,0.17855389133627048
晚上10:30,晚間班機,TSA,GMP,CI 837,18637.0,17932.084,17130,0.0378234694425069,0.08086065353865965,0.4677611147976119
晚上8:45,晚間班機,TSA,GMP,BR 205,21321.25,18855.28,21166,0.11565785308084663,0.007281468018995134,15.883864734299525
晚上10:30,晚間班機,TSA,GMP,BR 61,21365.5,20711.535,21166,0.030608457560085192,0.009337483325922631,3.2780200501253143
上午10:05,晚間班機,TSA,GMP,CI 831,22935.5,19377.32,19774,0.15513854069019642,0.13784308168559656,1.12547208603511
上午9:25,晚間班機,TSA,GMP,JX 741,19084.75,18520.658,18469,0.02955721191003291,0.03226398040320151,0.916105562322372
下午1:55,下午班機,TSA,GMP,TG 633,16678.75,15942.83,15359,0.04412321067226262,0.07912763246646182,0.5576207615078614
