出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
清晨7:55,早晨班機,TSA,NRT,BR 184,9733.75,9460.936525163024,9165,0.028027581850466235,0.05843071786310518,0.47967204366940785
清晨7:05,早晨班機,TSA,ICN,BR 170,8596.0,6479.337881324906,5994,0.2462380314884939,0.30269892973476037,0.8134750648251704
晚上7:40,晚間班機,TSA,HKG,CX 451,12768.0,4950.322554044629,4511,0.6122867673837227,0.6466948621553885,0.9467939258756656
凌晨12:20,凌晨班機,TSA,SIN,TR 875,3448.0,2374.4084248029235,2588,0.31136646612444213,0.2494199535962877,1.2483622967407866
下午5:00,下午班機,TSA,HKG,CX 421,4435.75,4385.587116574523,4353,0.011308771555086975,0.018655244321704335,0.6061979870148284
清晨7:00,早晨班機,TSA,HKG,BR 891,4083.5,3819.6874205596378,3813,0.06460452539252166,0.06624219419615526,0.9752775580050359
下午5:00,下午班機,TSA,HKG,CX 421,6137.75,4785.215166928431,4523,0.2203632981257902,0.26308500672070384,0.8376125301573425
上午10:45,早晨班機,TSA,HKG,CX 489,4499.25,4359.008926201974,4353,0.031169878045902377,0.032505417569594935,0.9589133251147095
下午4:10,下午班機,TSA,SIN,TR 899,3423.0,2889.862154507192,3298,0.1557516346750827,0.03651767455448437,4.2651027639424655
中午12:25,下午班機,TSA,HKG,CX 461,4478.5,4720.738629114201,4353,-0.05408923280433205,0.028022775482862566,-1.930188279794431
下午6:10,晚間班機,TSA,HKG,BR 857,4055.0,3880.064836272225,3813,0.0431406075777497,0.05967940813810111,0.7228725773875001
中午12:25,下午班機,TSA,ICN,KE 186,14407.0,9917.167438667891,11758,0.3116424350199284,0.18386895259248975,1.694916029192944
下午3:00,下午班機,TSA,NRT,JX 804,11192.75,6595.841428641901,8503,0.4107041228793727,0.24031180898349377,1.709046778086476
晚上8:25,晚間班機,TSA,HKG,HX 285,5096.5,1857.775936198145,2466,0.6354800478371146,0.5161385264397135,1.2312199444219178
上午11:55,早晨班機,TSA,HKG,HX 253,5841.25,1958.62896538808,2822,0.6646900979434059,0.5168842285469719,1.2859554639767892
清晨7:15,早晨班機,TSA,HND,BR 192,10465.5,9964.80445971242,9448,0.04784248629187131,0.09722421288997181,0.4920840690787019
