出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測中位數價格,中位數價格,效能,最佳效能,標準化效能
下午3:35,下午班機,TSA,HND,JL 98,10754.5,11396.849231192871,9005.0,-0.05972841426313369,0.1646287600539309,-0.3628066824020736
上午8:25,早晨班機,TSA,SIN,JX 771,9074.75,6052.216702058709,8832.5,0.33307069593556743,0.1574423537838508,2.1155088699501596
上午10:35,早晨班機,TSA,NRT,JL 802,15275.75,19749.199939658913,15277.0,-0.2928465011314608,0.001096509173035694,-267.0716381885918
下午1:30,下午班機,TSA,HND,NH 852,14603.0,13883.830913777934,14527.0,0.049248037130868026,0.00883380127371088,5.5749541567602
上午8:40,早晨班機,TSA,SIN,JX 771,5691.0,6644.290791554495,5770.0,-0.16750848560086007,0.06396063960639606,-2.618930746028832
下午5:35,下午班機,TSA,SIN,SQ 879,10597.25,10070.76606317312,10599.0,0.04968118491371633,0.0011559602727122603,42.97828055729636
晚上8:25,晚間班機,TSA,HKG,HX 285,4053.0,2548.7045600578003,5622.0,0.37115604242343936,0.4655810510732791,0.7971888923912028
中午12:25,下午班機,TSA,HKG,BR 869,4108.75,4052.171601445773,4135.0,0.013770221735132846,0.0938850015211439,0.14667115632981745
晚上9:10,晚間班機,TSA,HKG,CI 921,3858.0,3980.675887187377,3878.0,-0.03179779346484633,0.06946604458268534,-0.4577458477140938
上午10:45,早晨班機,TSA,HKG,CX 489,4495.5,4536.903455191763,4528.0,-0.009209977798189965,0.022133244355466576,-0.4161151275554069
中午12:25,下午班機,TSA,HKG,CX 461,4562.5,4536.903455191763,4527.0,0.0056102016018053725,0.04591780821917808,0.12217921149516474
下午5:40,下午班機,TSA,ICN,CI 2160,11146.75,15678.80375721256,10657.0,-0.40658073045619214,0.13122659071029671,-3.09831055013677
晚上8:55,晚間班機,TSA,HND,MM 860,11402.5,7159.589816286152,9940.0,0.3721035021893311,0.42644156983117737,0.8725779298126165
清晨7:55,早晨班機,TSA,NRT,BR 184,9733.75,11262.565931238469,9814.0,-0.157063406317038,0.05843071786310518,-2.688028010968736
清晨7:05,早晨班機,TSA,ICN,BR 170,8596.0,9491.084361409412,8708.0,-0.1041280085399502,0.30269892973476037,-0.34399860161776014
晚上7:40,晚間班機,TSA,HKG,CX 451,12768.0,6042.663908163111,7706.0,0.5267337164659217,0.6466948621553885,0.8145011616612435
凌晨12:20,凌晨班機,TSA,SIN,TR 875,3448.0,2847.337273047507,3798.0,0.17420612730640744,0.2494199535962877,0.6984450313401079
下午5:00,下午班機,TSA,HKG,CX 421,4435.75,4560.259681046229,4521.0,-0.028069589369605852,0.018655244321704335,-1.504648713549597
清晨7:00,早晨班機,TSA,HKG,BR 891,4083.5,4129.826001462502,4135.0,-0.01134468016713654,0.06624219419615526,-0.171260633872466
下午5:00,下午班機,TSA,HKG,CX 421,6137.75,6023.920495464491,6710.0,0.018545803353917794,0.26308500672070384,0.07049357766558845
上午10:45,早晨班機,TSA,HKG,CX 489,4499.25,4536.903455191763,4521.0,-0.008368829291940431,0.032505417569594935,-0.25745952267872124
下午4:10,下午班機,TSA,SIN,TR 899,3423.0,3776.032632909484,3298.0,-0.10313544636561033,0.03651767455448437,-2.8242610632758733
中午12:25,下午班機,TSA,HKG,CX 461,4478.5,5123.219522149287,4511.0,-0.14395880811639758,0.028022775482862566,-5.13720734780308
下午6:10,晚間班機,TSA,HKG,BR 857,4055.0,4392.705290455914,4135.0,-0.08328120603105157,0.05967940813810111,-1.3954764068426204
中午12:25,下午班機,TSA,ICN,KE 186,14407.0,13370.357871717226,14212.0,0.07195405901872522,0.18386895259248975,0.39133338176020166
下午3:00,下午班機,TSA,NRT,JX 804,11192.75,8661.377448437795,12620.0,0.2261618057726836,0.24031180898349377,0.9411181528254315
晚上8:25,晚間班機,TSA,HKG,HX 285,5096.5,2548.7045600578003,5620.0,0.49991080936764437,0.5161385264397135,0.9685593765224101
上午11:55,早晨班機,TSA,HKG,HX 253,5841.25,2377.558002464149,5813.0,0.5929710246155961,0.5168842285469719,1.1472027813317385
清晨7:15,早晨班機,TSA,HND,BR 192,10465.5,11081.681786337133,10143.0,-0.05887743407740982,0.09722421288997181,-0.605584065196199
清晨7:15,早晨班機,TSA,HND,BR 192,12374.75,11095.848824025536,11363.0,0.10334763740475278,0.21582254186953273,0.4788546947391049
中午12:50,下午班機,TSA,NRT,CX 450,10020.75,9996.596859438,10035.0,0.0024103126574358978,0.009754758875333683,0.24709095204092862
上午11:55,早晨班機,TSA,HKG,HX 253,7627.5,2377.558002464149,2170.0,0.6882913140001115,0.7436905932481154,0.925507624069784
下午3:45,下午班機,TSA,HKG,HX 255,1958.75,2432.669735141359,1962.0,-0.24195008813853686,0.0019144862795149968,-126.37859603769574
