出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測平均價格,平均價格,效能,最佳效能,標準化效能
上午9:35,凌晨班機,TSA,SIN,BR 215,27421.5,20467.18493950011,26212,0.25360811992414306,0.298871323596448,0.8485528717588786
下午4:05,下午班機,TSA,SIN,SQ 881,22731.0,20868.528489526743,23057,0.0819353090701358,0.043156922264748585,1.898543843499752
上午9:35,凌晨班機,TSA,SIN,BR 215,22801.25,20467.18493950011,20118,0.10236566243078288,0.15680061400142536,0.6528396784839908
下午1:30,下午班機,TSA,NRT,JX 745,27373.0,25992.7985966716,27973,0.05042199990240016,0.34815328973806303,0.14482700979311644
清晨7:05,早晨班機,TSA,ICN,BR 170,23633.0,20731.6472968869,22985,0.1227670081290188,0.04811069267549613,2.5517613923598077
下午2:10,下午班機,TSA,SIN,SQ 877,30451.5,27101.450264227045,30806,0.11001263437837068,0.15770980083082936,0.6975637138517344
下午3:15,下午班機,TSA,ICN,BR 160,20182.75,20344.467641279916,20210,-0.008012666325447042,0.0007803693748374231,-10.267786747931194
清晨7:00,早晨班機,TSA,NRT,CI 833,20481.5,21054.22556598068,20700,-0.027963067450171113,0.04372238361448136,-0.6395595376668674
中午12:50,下午班機,TSA,NRT,CX 450,19694.5,40929.126265800776,21303,-1.0782008309833089,0.0003808169793597197,-2831.2835021067704
下午3:45,下午班機,TSA,ICN,CI 162,18729.5,18081.78454723927,18322,0.034582634494286064,0.07434795376278064,0.4651457470454082
下午6:10,晚間班機,TSA,HKG,CI 923,14289.75,14506.819804525814,14462,-0.01519059497372691,0.06548400076978253,-0.23197414322822776
下午4:30,下午班機,TSA,HKG,JX 235,14191.0,14168.7259236483,14180,0.0015695917378408483,0.09132548798534282,0.01718678730841009
下午3:20,下午班機,TSA,NRT,BR 196,25347.0,25084.324302817753,25189,0.010363186853759693,0.017832485106718744,0.5811409229695729
中午12:25,下午班機,TSA,ICN,KE 186,18909.75,19918.369367369647,18753,-0.05333858815529804,0.11844418884437923,-0.4503267629733886
下午1:30,下午班機,TSA,HND,NH 852,33742.75,33867.17739064887,33836,-0.003687529636703203,0.00031858695571641317,-11.574640990592279
下午3:45,下午班機,TSA,ICN,CI 162,18304.25,19589.289738827196,18647,-0.07020444644425179,0.05284291899422265,-1.3285497429074138
晚上7:25,晚間班機,TSA,ICN,KE 188,16853.5,17735.057790775285,17008,-0.05230710480169015,0.019254160856795325,-2.7166649946850074
下午3:15,下午班機,TSA,ICN,BR 160,22591.0,23664.406929685385,22459,-0.047514803668955996,0.5201186313133549,-0.09135378124981999
下午1:50,下午班機,TSA,NRT,CI 835,18635.75,19585.813508219384,19215,-0.050980696146888854,0.06706196423540775,-0.7602028471449361
上午8:05,早晨班機,TSA,HKG,CI 903,14032.75,14088.366189650253,13944,-0.003963313652010664,0.061338654219593454,-0.06461363886175155
下午6:25,晚間班機,TSA,HND,CI 222,32458.75,28395.876054816457,30888,0.12517037609838771,0.08810413216775137,1.4207094834106277
上午9:50,凌晨班機,TSA,HKG,BR 867,15258.25,14886.471035001705,15037,0.0243657670439464,0.12919240410925237,0.1886006163593127
下午6:10,晚間班機,TSA,HKG,BR 857,14483.5,14658.205434332289,14437,-0.012062376796512505,0.08261124728138916,-0.1460137353383108
上午8:05,早晨班機,TSA,HKG,JX 233,13043.25,15661.456551804842,13764,-0.20073268179363596,0.09761754164031204,-2.0563177316354544
上午8:05,早晨班機,TSA,NRT,BR 67,25037.25,27647.851609974765,24108,-0.10426870402998592,0.1546196167710112,-0.674356244100682
晚上10:30,晚間班機,TSA,NRT,CI 837,21879.75,19548.4790070839,21770,0.10654925183862243,0.1631074395274169,0.6532458123757896
下午6:25,晚間班機,TSA,HND,CI 222,26037.0,24388.03834461567,25303,0.06333147656735913,0.1059645888543227,0.5976664209439397
下午1:25,下午班機,TSA,NRT,JL 8664,37026.75,31613.25161788597,36320,0.14620506477381975,0.3173854037959043,0.46065465842228015
下午1:30,下午班機,TSA,HND,NH 852,33747.5,33867.17739064887,33747,-0.0035462594458513077,0.00034076598266538264,-10.406729621640608
晚上7:55,晚間班機,TSA,SIN,CI 755,18292.25,18654.32361374869,18742,-0.01979382600547714,0.036586532547936965,-0.5410139914063343
下午1:30,下午班機,TSA,NRT,JX 745,32010.0,29783.78878027475,32100,0.0695473670642065,0.0002499218994064355,278.27640246565625
上午10:45,凌晨班機,TSA,HKG,CX 489,14311.0,14328.416324134098,14319,-0.001216988619530258,0.0021661658863811055,-0.561816907551533
下午4:35,下午班機,TSA,HKG,BR 871,14924.75,14899.407074195631,14909,0.0016980469223517218,0.003668403155831756,0.46288448957751344
上午8:25,早晨班機,TSA,NRT,BR 211,33172.25,28794.000725278493,30790,0.13198529719031743,0.23206897331353768,0.5687330594253899
清晨7:55,早晨班機,TSA,ICN,CI 160,18903.0,22404.785470286653,18653,-0.18525024971097992,0.08818706025498597,-2.100651151941604
下午2:30,下午班機,TSA,HKG,CI 915,13459.0,14013.065372209208,13724,-0.04116690483759628,0.021324021101121925,-1.9305413665826074
下午4:30,下午班機,TSA,HND,BR 190,26184.75,30765.127919068254,26361,-0.17492540196367176,0.0010979673283113263,-159.31749283715666
下午6:10,晚間班機,TSA,HKG,CI 923,14672.5,14506.819804525814,14518,0.011291885873176751,0.08986198670983132,0.12565809288902985
上午9:50,凌晨班機,TSA,HKG,BR 867,14863.25,17225.739039288816,15351,-0.15894834839545965,0.10598287723075371,-1.499754984471554
清晨7:35,早晨班機,TSA,NRT,BR 75,21318.75,22132.430921290288,21363,-0.038167384170755235,0.007165054236294341,-5.326880008447059
上午8:05,早晨班機,TSA,NRT,BR 67,23731.0,24425.17676193809,25896,-0.02925189675690412,0.19843243015465004,-0.14741489954089862
下午6:50,晚間班機,TSA,NRT,TG 635,16666.75,20593.28150551777,16674,-0.23559071237750437,0.0033449832750836244,-70.4310583949376
上午9:00,凌晨班機,TSA,HND,CI 220,34403.0,27991.766436717207,30262,0.18635681665211734,0.2651222277126995,0.7029090629627006
中午12:50,下午班機,TSA,NRT,CX 450,19697.75,24152.41952106165,19796,-0.22615118584922891,0.0005457476107677273,-414.38786242433946
上午8:30,早晨班機,TSA,NRT,JX 800,26140.5,25269.726594486452,27747,0.03331127581773677,0.15797325988408792,0.2108665469217939
下午2:35,下午班機,TSA,NRT,CI 108,22894.5,23867.468657087626,22821,-0.04249792120760993,0.0678547249339361,-0.626307471572337
中午12:25,下午班機,TSA,HKG,CX 461,14287.75,14438.78594864047,14495,-0.010571010035902816,0.000682402757607041,-15.490866527227737
下午5:00,下午班機,TSA,HKG,CX 421,15792.75,16676.325860208053,15540,-0.05594819522933328,0.08856912190720426,-0.6316896230263115
下午4:55,下午班機,TSA,HKG,CI 919,14924.5,14522.256152767077,14553,0.02695191445160127,0.07467586853830949,0.3609186605948167
下午4:25,下午班機,TSA,NRT,CI 106,22469.25,22708.52839956917,22709,-0.01064914937388527,0.050213068972039566,-0.21207923737573375
清晨7:00,早晨班機,TSA,NRT,CI 833,30305.75,27926.92808477415,29509,0.07849407835892033,0.24077114079011408,0.32601115773815054
清晨7:00,早晨班機,TSA,NRT,CI 833,27569.5,23219.006507162965,28281,0.1578009573201195,0.10676653548305193,1.4780001674323202
