出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
下午5:00,下午班機,TSA,HKG,CX 421,14341.5,15041.46347788848,14278,-0.04880685269242961,0.00442770979325733,-11.023046895881564
上午9:30,早晨班機,TSA,HND,JL 96,32230.5,32750.488604489583,31741,-0.016133432757468327,0.015187477699694389,-1.062285198140108
上午8:20,早晨班機,TSA,SIN,CI 753,18914.25,17749.052567984476,17623,0.06160421015982786,0.06826863343775195,0.9023794246005995
上午9:25,早晨班機,TSA,ICN,JX 741,22116.25,19123.747961305184,17848,0.135307841008074,0.19299157859040297,0.7011074887119585
上午8:05,早晨班機,TSA,HKG,CI 903,14434.0,13579.992303367955,13354,0.059166391619235474,0.07482333379520577,0.7907478672518933
上午9:25,早晨班機,TSA,ICN,JX 741,22746.5,19441.195444545185,18469,0.14531046778426637,0.18805090893104434,0.7727187739228089
上午9:50,早晨班機,TSA,HKG,CX 469,14283.5,14328.416324134125,14278,-0.00314463010705533,0.0003850596842510589,-8.166604388022693
下午1:40,下午班機,TSA,ICN,OZ 712,15046.25,13149.701880768243,13103,0.12604789361015248,0.1291517820054831,0.9759671268399622
上午9:40,早晨班機,TSA,ICN,BR 201,21266.25,21502.50327562396,21173,-0.011109305854297763,0.004384882148944925,-2.533547191677853
晚上7:00,晚間班機,TSA,HKG,BR 809,16638.0,14904.92455603362,14867,0.10416368818165522,0.10644308210121409,0.9785857955767248
下午4:25,下午班機,TSA,NRT,CI 106,23565.5,26804.63233812807,21913,-0.1374523068947432,0.07012369777853218,-1.960140597959498
晚上7:55,晚間班機,TSA,SIN,CI 755,21428.75,18305.073207029076,21403,0.14577036891890213,0.0012016566528612262,121.30783662023006
下午6:25,晚間班機,TSA,HND,CI 222,33029.25,24069.949888895622,23280,0.27125351351012744,0.2951701900588115,0.9189732657490962
清晨7:15,早晨班機,TSA,HKG,CI 601,14620.25,13183.218842807131,13185,0.09829046406134428,0.09816863596723722,1.001241008321107
下午6:50,晚間班機,TSA,ICN,TG 635,16674.5,18145.406359334615,16635,-0.088212921486978,0.002368886623287055,-37.238135679357335
下午3:00,下午班機,TSA,NRT,JX 804,32588.75,28731.14212031669,22013,0.11837237941569743,0.32452149898354493,0.364759745614572
上午8:25,早晨班機,TSA,ICN,BR 211,21343.25,21155.81314710117,21166,0.008782020212424569,0.008304733346608412,1.0574716665660406
下午1:55,下午班機,TSA,ICN,TG 633,16675.75,15378.144755387144,16555,0.07781390609794799,0.007241053625773953,10.74621320590357
清晨7:00,早晨班機,TSA,ICN,CI 833,20452.5,19287.6732863821,19586,0.05695277905478051,0.04236645886810903,1.3442893405861494
下午6:50,晚間班機,TSA,ICN,TG 635,16673.75,17679.97729458801,16635,-0.060347989779624286,0.0023240122947747206,-25.967155989368013
下午3:50,下午班機,TSA,HKG,CX 443,14286.5,14328.416324134098,14278,-0.002933981320414204,0.000594967276799776,-4.931332251070297
下午4:30,下午班機,TSA,HND,BR 190,26163.25,29750.065711734023,23231,-0.13709366044868368,0.11207514356970177,-1.2232298445678313
上午8:50,早晨班機,TSA,NRT,BR 198,27213.25,24590.513851183856,24892,0.09637717467836969,0.08529852185975582,1.1298809472552047
中午12:25,下午班機,TSA,HKG,CX 461,14314.75,14328.416324134098,14278,-0.0009547022570493736,0.0025672819993363487,-0.37187276555367405
下午6:50,晚間班機,TSA,ICN,TG 635,19461.5,20937.56095820843,16655,-0.0758451793648192,0.14420779487706498,-0.5259436872290857
中午12:25,下午班機,TSA,ICN,KE 186,17512.0,16970.440855060126,17505,0.030925031118083278,0.00039972590223846506,77.36559213426776
下午5:00,下午班機,TSA,HKG,CX 421,24796.25,14328.416324134098,14278,0.42215390133047953,0.42418712506931494,0.995206776399677
中午12:25,下午班機,TSA,ICN,KE 186,18337.0,16641.72965245037,16608,0.09245080152422049,0.0942902328625184,0.9804918146614408
下午4:30,下午班機,TSA,HND,BR 190,27372.25,30124.031646115727,27337,-0.10053180305293599,0.0012878006009736137,-78.06472754938234
上午10:50,早晨班機,TSA,HKG,CI 909,14570.0,13203.572544916668,13354,0.09378362766529393,0.08345916266300618,1.1237067887198458
晚上7:30,晚間班機,TSA,HKG,CX 565,14340.25,14328.416324134125,14278,0.000825207082573539,0.004340928505430519,0.19009921069679028
上午9:25,早晨班機,TSA,ICN,JX 741,31094.75,24533.98561282252,18469,0.2109926719840964,0.4060412127449167,0.5196336365901022
下午4:05,下午班機,TSA,SIN,SQ 881,23709.5,19535.72266206545,19449,0.17603818460678416,0.17969590248634515,0.9796449566798613
上午8:45,早晨班機,TSA,SIN,JX 771,30328.5,24762.065195645984,23267,0.18353808478342207,0.23283380318842015,0.78827937468725
晚上7:40,晚間班機,TSA,HKG,CX 451,14315.0,14328.416324134125,14280,-0.0009372213855483624,0.0024449877750611247,-0.3833235466892802
上午8:05,早晨班機,TSA,HKG,CI 903,14402.0,13579.992303367955,13810,0.05707594060769649,0.04110540202749618,1.388526514581157
上午8:20,早晨班機,TSA,SIN,CI 753,19280.0,17119.88879368212,17623,0.11203896298329256,0.08594398340248963,1.3036277648267234
上午9:25,早晨班機,TSA,ICN,JX 741,27215.75,19441.195444545185,18469,0.28566379965478866,0.32138559473834083,0.8888506651561797
清晨7:35,早晨班機,TSA,ICN,BR 75,29105.5,20099.99810965212,21370,0.30940893955946064,0.265774509972342,1.1641783841184
上午9:50,早晨班機,TSA,HKG,CX 469,14684.0,9473.98594548596,14278,0.35480891136706894,0.027649141923181693,12.832546932300593
下午3:45,下午班機,TSA,ICN,CI 162,18294.5,17077.887241804936,16700,0.06650155829320638,0.08715734237065785,0.7630058063311784
清晨7:15,早晨班機,TSA,HKG,CI 601,13760.5,13579.992303367955,13187,0.013117815241600583,0.04167726463427928,0.31474750938455937
上午9:30,早晨班機,TSA,NRT,CI 100,24414.0,22535.49165832075,22771,0.07694389865156268,0.06729745228147783,1.1433404392448274
下午6:50,晚間班機,TSA,ICN,TG 635,20186.0,20937.56095820843,16653,-0.037231792242565585,0.17502229267809372,-0.2127260000589949
下午6:10,晚間班機,TSA,HKG,BR 857,14901.0,14643.418401529378,14870,0.017286195454709236,0.0020803972887725656,8.309083821632978
上午8:20,早晨班機,TSA,HKG,CX 407,14311.0,14328.416324134098,14278,-0.001216988619530258,0.0023059185242121443,-0.5277673980029552
下午2:25,下午班機,TSA,HKG,BR 855,14881.25,14814.967189915917,14867,0.004454115755335298,0.0009575808483830323,4.6514252690584845
上午10:05,早晨班機,TSA,ICN,CI 831,20849.25,19801.634784311027,19586,0.050247141536936483,0.06058970946197106,0.829301575847198
晚上10:30,晚間班機,TSA,ICN,BR 61,22117.75,20876.63214457669,21170,0.05611410995346761,0.04285019950040126,1.3095413932190012
下午4:50,下午班機,TSA,HND,NH 854,33749.0,30124.031646115727,33733,0.1074096522529341,0.00047408812112951495,226.56052211776705
上午10:05,早晨班機,TSA,ICN,CI 831,20776.75,24137.026302603073,19586,-0.16173252807118887,0.05731165846438928,-2.8219830380878217
上午9:50,早晨班機,TSA,HKG,CX 469,14656.5,9473.98594548596,14277,0.3535983389290786,0.02589294852113397,13.656163516506036
