出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測中位數價格,中位數價格,效能,最佳效能,標準化效能
下午6:10,晚間班機,TSA,HKG,CI 923,14077.75,15276.420058736168,13647.0,-0.08514642316678221,0.06433911669123261,-1.3234005616739368
晚上7:55,晚間班機,TSA,SIN,CI 755,19277.75,19028.90277692635,19221.0,0.012908520085261586,0.08583729947737677,0.1503835764155622
清晨7:25,早晨班機,TSA,SIN,BR 225,32750.0,25538.374966607986,34642.0,0.22020229109593936,0.26253435114503815,0.8387561099548749
上午9:25,早晨班機,TSA,ICN,JX 741,32485.0,27195.526661313543,32013.0,0.16282817727217044,0.014868400800369401,10.95129055628666
中午12:25,下午班機,TSA,ICN,KE 186,16629.25,17510.289329916326,16685.0,-0.05298130281981004,0.0060886690620442895,-8.70162301151927
清晨7:25,早晨班機,TSA,SIN,BR 225,20665.75,19341.33897374786,19402.0,0.06408724707557863,0.16422099367310647,0.39025002615164317
清晨7:15,早晨班機,TSA,HND,BR 192,26162.0,27887.524304354363,26165.0,-0.06595536672862791,0.11203271921106948,-0.5887152181352314
下午4:55,下午班機,TSA,HKG,CI 919,14175.0,14913.170087272743,14887.0,-0.05207549116562563,0.025749559082892417,-2.022383800747242
下午5:10,下午班機,TSA,ICN,OZ 714,19473.0,16947.934887516363,19101.0,0.12967006175132936,0.27602321162635446,0.46977955581090913
下午1:30,下午班機,TSA,ICN,JX 745,20423.0,25575.843492978107,20917.0,-0.25230590476316445,0.12632815942809578,-1.997226160069034
下午1:30,下午班機,TSA,HND,NH 852,33741.75,33860.35026024483,33747.0,-0.003514940992830187,0.0011780657494054102,-2.9836543457818356
晚上9:15,晚間班機,TSA,HKG,CX 479,14285.0,14328.416324134098,14284.0,-0.0030392946541195325,0.0007000350017500875,-4.341632413409752
上午10:15,早晨班機,TSA,NRT,JX 802,38034.5,44191.985591187775,36064.0,-0.16189211350715205,0.052123729771654685,-3.105919592024098
下午6:35,晚間班機,TSA,HKG,CX 473,14283.5,14351.36014041105,14284.0,-0.004750946225438475,0.0006651030909791018,-7.143172674847417
上午9:25,早晨班機,TSA,ICN,JX 741,19085.0,23004.321240332683,20924.0,-0.20536134348088464,0.03227665706051873,-6.362534481059551
下午3:00,下午班機,TSA,NRT,JX 804,28065.25,25879.85122627555,32601.0,0.0778684948013807,0.21572050845796847,0.36096936428532844
晚上8:45,晚間班機,TSA,ICN,BR 205,21314.5,19615.51183533508,21357.0,0.07971043959111962,0.006967088132491966,11.440997741851307
上午8:45,早晨班機,TSA,SIN,JX 771,28625.75,26132.534692732763,28623.0,0.08709694269206002,0.26447341991039536,0.3293221024690073
清晨7:35,早晨班機,TSA,ICN,BR 75,21368.5,21326.645929233473,21362.0,0.0019586808042926273,0.009476565973278424,0.2066867692174173
下午1:20,下午班機,TSA,HKG,CX 495,14314.75,14328.416324134098,14289.0,-0.0009547022570493736,0.0024275659721615817,-0.39327551465028837
下午3:20,下午班機,TSA,NRT,BR 196,25775.5,22403.223170851856,25775.0,0.1308326445325268,0.0011832942134973132,110.56645341469327
上午8:05,早晨班機,TSA,ICN,BR 67,25578.5,21641.913274740313,25403.0,0.15390217273333803,0.16918505776335593,0.9096676430409445
晚上7:55,晚間班機,TSA,SIN,CI 755,19270.5,19028.90277692635,19233.0,0.012537153839996448,0.08549337069614177,0.1466447484513818
清晨7:55,早晨班機,TSA,NRT,BR 184,25002.0,25332.24409265241,24904.0,-0.013208707009535655,0.11519078473722102,-0.1146680877265314
下午4:35,下午班機,TSA,HKG,BR 871,14494.0,15022.184187183911,14872.0,-0.03644157494024503,0.0832758382779081,-0.4376008178822796
